,bcity_count,Lat_bcity,Lng_bcity
338,2,40.49393370000001,-81.38038039999998
339,2,44.7677424,-71.1211635
340,2,36.9486986,-117.82650490000002
341,2,30.080174,-93.2868354
342,2,39.900076,35.50177670000001
343,2,41.900586499999996,-76.1416033
344,2,40.767498700000004,-91.15649609999998
345,2,34.494268299999995,-78.8894682
346,2,37.3021632,-81.8431374
347,2,52.2296756,-85.9766671
348,2,38.520050399999995,-87.83640199999998
349,2,41.885031700000006,-87.7845025
350,2,32.4084765,7.335888000000001
351,2,40.0149856,-83.29104679999998
352,2,33.7360619,-93.2777226
353,2,43.72384829999999,19.4559833
354,2,-38.7183177,20.687254199999998
355,2,30.64851909999999,-100.920999
356,2,32.517636100000004,11.581980499999998
357,2,32.3546679,-81.9498042
358,2,38.317271399999996,-80.05809690000001
359,2,29.6516344,-83.21131919999998
360,2,32.351260100000005,-86.52638569999998
361,2,59.931058400000005,-92.8129462
362,2,44.76305670000001,-119.64568440000001
363,2,40.1053196,-76.8983059
364,2,42.6389216,27.983473800000002
365,2,28.0222435,-86.0549863
366,2,32.9065168,-80.085059
367,2,42.33176419999999,-85.4941396
368,2,-25.480876199999997,-118.29650840000001
369,2,40.32674069999999,-85.62063169999998
370,1,28.291563699999998,-73.41150909999999
371,1,57.509840000000004,4.4777325999999995
372,1,35.2990556,21.010806
373,1,35.1569986,-112.45061909999998
374,1,52.07049779999999,-121.9999606
375,1,33.4956744,8.441217199999999
376,1,40.7263249,-97.7509366
377,1,42.4304196,-84.5393664
378,1,35.2326725,-112.02654620000001
379,1,34.0739016,-98.49338730000001
380,1,33.521501300000004,-91.1984601
381,1,35.6818059,17.2546844
382,1,39.3111112,-93.2890527
383,1,39.18360819999999,-80.2528257
384,1,37.235807799999996,-87.8819594
385,1,40.7580684,-84.68383440000001
386,1,40.4417355,-77.7952712
387,1,36.0597177,-74.58529200000001
388,1,34.778729999999996,-81.18815570000001
389,1,41.562320899999996,4.300699900000001
390,1,35.2827524,-90.7531682
391,1,-31.8722985,-106.9561791
392,1,36.581708899999995,22.273801100000004
393,1,30.6338092,-73.5929056
394,1,37.6687665,3.2874
395,1,42.87665200000001,15.242885300000001
396,1,43.891414399999995,-94.65548740000001
397,1,45.3815612,-83.7315723
398,1,45.774970399999994,-75.37045789999998
399,1,33.7440023,13.8495788
400,1,40.688432,-111.8879909
401,1,33.689060299999994,-74.40737359999999
402,1,54.5553929,-105.96026499999999
403,1,37.8215929,-82.59932940000002
404,1,40.2086471,-81.556235
405,1,37.27528,-117.3136547
406,1,42.8500769,-83.0496438
407,1,43.4516395,17.674474800000002
408,1,39.4699075,-87.67448909999999
409,1,36.304773499999996,25.426361800000002
410,1,40.6872885,151.2092955
411,1,41.2804112,-80.3100627
412,1,41.558152500000006,-90.5709323
413,1,27.767600800000004,-89.9248303
414,1,42.7762015,-121.08493689999999
415,1,33.542718900000004,-43.191636100000004
416,1,32.735687,-97.396381
417,1,41.3046016,-84.8491126
418,1,42.374776000000004,-90.1342608
419,1,28.3861159,-84.6151965
420,1,35.6178951,-71.5375718
421,1,23.1135925,-92.1101458
422,1,40.7250986,-64.8940946
423,1,43.5391527,-82.9040517
424,1,32.7918133,-89.3648183
425,1,36.6859829,-68.9658817
426,1,39.95675479999999,-88.99922670000002
427,1,48.11995049999999,-94.5746473
428,1,34.2978794,5.4697225
429,1,43.084702,-89.0928155
430,1,33.984523200000005,-92.55404870000001
431,1,38.3226153,-121.7568946
