Player,Weight (kg),Height (cm),Age,Years Played,Player Efficiency Rating,True Shooting %,Assist Percentage,Block Percentage,Steal Percentage,Total Rebound Percentage,Win Shares,3-Point Field Goal Percentage,2-Point Field Goal Percentage,Free Throw Percentage,Turnovers,Personal Fouls,Points,Total Rebounds,Steals,Win Shares Per 48 Minutes
Rex Chapman,83.0,193.0,26.142857142857142,11.0,13.02142857142857,0.505,16.085714285714285,0.4428571428571429,1.5357142857142858,5.25,1.7785714285714285,0.31464285714285717,0.4620714285714286,0.7815384615384615,76.78571428571429,91.35714285714286,714.3571428571429,121.64285714285714,43.357142857142854,0.041999999999999996
Rex Walters,86.0,193.0,26.0,6.0,11.481818181818182,0.5545454545454546,23.30909090909091,0.36363636363636365,1.6454545454545455,5.336363636363637,0.7000000000000001,0.3281818181818182,0.503909090909091,0.845181818181818,32.63636363636363,47.27272727272727,164.8181818181818,43.81818181818182,14.727272727272727,0.06763636363636365
Rich Kelley,106.0,213.0,29.714285714285715,10.0,11.142857142857142,0.5587142857142856,13.757142857142854,1.3285714285714287,1.6285714285714283,14.87142857142857,1.7285714285714284,0.0,0.48200000000000004,0.786857142857143,110.57142857142857,185.14285714285714,313.57142857142856,318.0,39.857142857142854,0.07899999999999999
Rich King,117.0,218.0,23.5,3.0,2.9749999999999996,0.366,8.799999999999999,0.825,0.375,13.2,0.05,0.0,0.31025,0.564,7.0,15.5,33.75,18.5,1.25,-0.12200000000000001
Rich Manning,114.0,211.0,25.75,1.0,8.775,0.431,3.0,1.0,0.9,11.225,-0.1,0.29175,0.40075,0.634,7.75,23.75,64.25,33.25,2.75,-0.018250000000000002
Richard Anderson,108.0,208.0,26.125,7.0,13.575,0.4902500000000001,12.7375,0.7250000000000001,1.575,13.237500000000002,1.25,0.315625,0.43937500000000007,0.7695,52.875,103.5,338.5,215.125,34.5,0.090375
Richard Dumas,77.0,190.0,24.666666666666668,3.0,15.100000000000001,0.5303333333333334,7.966666666666666,1.0999999999999999,3.033333333333333,9.033333333333333,1.5,0.18499999999999997,0.506,0.6356666666666667,50.0,76.0,360.0,117.0,45.666666666666664,0.07833333333333332
Richard Hamilton,83.0,198.0,27.5,13.0,15.828571428571426,0.5195000000000001,19.764285714285712,0.3071428571428571,1.2571428571428573,5.55,4.478571428571429,0.3444285714285715,0.4591428571428572,0.8438571428571429,141.21428571428572,166.35714285714286,1122.0,203.71428571428572,51.0,0.09135714285714287
Richard Jefferson,105.0,201.0,28.77777777777778,16.0,13.366666666666667,0.563888888888889,10.866666666666665,0.7944444444444445,1.1888888888888889,7.822222222222223,4.788888888888889,0.36088888888888887,0.4865,0.7408333333333332,100.72222222222223,152.61111111111111,858.4444444444445,273.3888888888889,45.666666666666664,0.10455555555555557
Richard Washington,99.0,211.0,26.0,5.0,7.1,0.44799999999999995,6.8,0.4,1.2,13.5,-0.5,0.0,0.442,0.6,35.0,51.0,109.0,75.0,8.0,-0.07200000000000001
Richaun Holmes,111.0,208.0,22.5,2.0,17.25,0.5874999999999999,8.15,4.0,1.5,12.45,2.6,0.2665,0.601,0.6940000000000001,43.5,114.0,423.0,223.0,30.5,0.127
Richie Frahm,95.0,196.0,27.833333333333332,4.0,10.383333333333333,0.5253333333333333,9.416666666666666,0.38333333333333336,0.9666666666666667,5.983333333333333,0.5499999999999999,0.3406666666666667,0.5136666666666666,0.6375000000000001,7.166666666666667,25.333333333333332,101.66666666666667,32.833333333333336,6.833333333333333,0.06883333333333332
Rick Brunson,86.0,193.0,29.666666666666668,8.0,9.613333333333332,0.4593333333333333,27.77333333333333,0.34,2.14,5.406666666666667,0.25999999999999995,0.29849999999999993,0.41600000000000004,0.6483076923076923,28.533333333333335,29.933333333333334,87.2,35.13333333333333,16.133333333333333,0.012666666666666666
Rick Carlisle,95.0,196.0,27.2,5.0,3.9,0.4010000000000001,20.5,0.86,1.6400000000000001,4.279999999999999,0.10000000000000002,0.13319999999999999,0.39059999999999995,0.79825,24.0,37.4,84.4,28.2,8.4,-0.06539999999999999
Rick Fox,104.0,201.0,28.0,12.0,13.346153846153847,0.5320769230769231,16.792307692307695,1.0076923076923074,2.0846153846153843,8.107692307692307,3.446153846153846,0.3298461538461538,0.48869230769230776,0.7713846153846154,123.92307692307692,210.69230769230768,689.6923076923077,270.53846153846155,74.38461538461539,0.08946153846153845
Rick Mahorn,108.0,208.0,31.41176470588235,18.0,10.23529411764706,0.5113529411764706,5.170588235294118,1.9235294117647062,1.2058823529411764,14.6,2.929411764705882,0.11566666666666665,0.46747058823529414,0.6939411764705882,83.41176470588235,197.94117647058823,442.0,396.5882352941176,36.0,0.08152941176470588
Rick Robey,104.0,211.0,28.0,7.0,7.1,0.4504,10.180000000000001,0.48,1.2600000000000002,12.780000000000001,0.6799999999999999,0.3333333333333333,0.42219999999999996,0.5986,63.0,106.6,244.6,173.6,16.2,-0.006000000000000005
Rickey Brown,97.0,208.0,24.333333333333332,4.0,9.883333333333333,0.49433333333333335,3.616666666666667,1.4000000000000001,0.9333333333333332,14.333333333333334,0.75,0.0,0.463,0.646,58.666666666666664,144.16666666666666,283.1666666666667,216.66666666666666,16.5,0.04583333333333334
Rickey Green,77.0,183.0,32.30769230769231,14.0,14.646153846153847,0.5173076923076924,30.99230769230769,0.13846153846153847,2.5153846153846158,4.023076923076923,3.56923076923077,0.20707692307692305,0.47946153846153844,0.8433076923076924,110.61538461538461,94.76923076923077,632.3076923076923,124.3076923076923,94.61538461538461,0.08992307692307694
Ricky Davis,88.0,198.0,24.625,11.0,14.481250000000001,0.5157499999999999,20.081249999999997,0.7312500000000001,1.9374999999999996,6.968750000000001,2.35,0.35562499999999997,0.459375,0.7715625,125.5,111.9375,785.5,203.6875,57.4375,0.06175
Ricky Ledo,88.0,201.0,21.75,1.0,1.0249999999999995,0.36375,11.675,0.175,1.0750000000000002,7.6,-0.30000000000000004,0.2905,0.24624999999999997,0.74425,13.5,11.0,49.75,18.5,3.25,-0.22274999999999998
Ricky Pierce,92.0,193.0,31.2,15.0,16.795,0.56105,12.059999999999999,0.40499999999999997,1.5099999999999998,5.675,4.135,0.28430000000000005,0.49219999999999997,0.8623500000000002,83.4,124.0,836.2,130.4,42.8,0.12840000000000001
Ricky Rubio,87.0,193.0,23.5,6.0,15.966666666666669,0.4948333333333334,39.63333333333333,0.28333333333333327,3.3333333333333335,7.866666666666667,3.883333333333333,0.3085,0.39266666666666666,0.8241666666666667,162.66666666666666,153.33333333333334,608.8333333333334,249.66666666666666,124.5,0.08883333333333333
Ricky Sobers,89.0,190.0,31.0,10.0,12.580000000000002,0.512,23.26,0.38,1.86,4.14,1.72,0.3034,0.46020000000000005,0.8263999999999999,165.8,193.8,830.8,125.0,68.8,0.048
Rik Smits,113.0,224.0,27.5,11.0,17.84166666666667,0.54625,9.291666666666666,3.1666666666666665,0.8250000000000001,13.25,4.708333333333333,0.045,0.5065833333333333,0.7738333333333333,131.58333333333334,250.91666666666666,1072.5833333333333,439.75,31.0,0.11633333333333333
Rob Williams,85.0,190.0,21.5,1.0,12.0,0.5,28.9,0.25,2.25,5.05,1.05,0.226,0.44400000000000006,0.7855,177.0,244.5,659.5,165.0,86.5,0.025999999999999995
Robbie Hummel,97.0,203.0,24.5,1.0,9.649999999999999,0.514,5.3,0.6,1.15,10.65,0.9500000000000001,0.33699999999999997,0.4595,0.883,14.0,71.5,189.5,133.0,16.0,0.067
Robert Covington,97.0,206.0,24.5,4.0,14.024999999999999,0.5505,6.425000000000001,1.375,2.75,10.075,2.3,0.356,0.50725,0.8109999999999999,100.75,156.75,670.25,294.0,82.75,0.08499999999999999
Robert Horry,99.0,206.0,29.11111111111111,15.0,13.172222222222222,0.5166666666666667,12.261111111111111,2.788888888888889,2.2444444444444445,11.005555555555555,3.861111111111112,0.3308333333333333,0.46444444444444444,0.7106111111111111,80.55555555555556,157.38888888888889,452.1111111111111,305.8888888888889,68.0,0.11711111111111114
Robert Pack,81.0,188.0,27.866666666666667,12.0,13.873333333333335,0.48860000000000003,33.54666666666666,0.24666666666666665,2.78,5.366666666666669,1.02,0.23757142857142854,0.42273333333333335,0.7866,102.46666666666667,78.66666666666667,379.46666666666664,83.86666666666666,46.6,0.04413333333333333
Robert Reid,92.0,203.0,31.454545454545453,13.0,10.163636363636364,0.4425454545454546,12.990909090909092,1.081818181818182,1.5272727272727273,8.1,1.9090909090909092,0.25870000000000004,0.4163636363636364,0.6969,71.81818181818181,169.1818181818182,644.5454545454545,223.0,52.18181818181818,0.02936363636363636
Robert Sacre,122.0,213.0,24.5,3.0,9.2,0.46075,6.4,3.0749999999999997,0.75,11.3,0.6,0.0,0.4195,0.6615,25.5,84.0,196.75,148.25,14.0,0.028000000000000004
Robert Smith,74.0,180.0,27.2,7.0,7.540000000000001,0.42400000000000004,15.739999999999998,0.04,2.62,4.4799999999999995,0.12,0.04,0.35860000000000003,0.8815999999999999,5.8,13.4,35.6,6.0,4.4,-0.00040000000000000034
Robert Traylor,128.0,203.0,24.0,6.0,14.77142857142857,0.5047142857142857,8.3,3.7571428571428567,2.457142857142857,15.37142857142857,1.9,0.24757142857142858,0.48,0.581857142857143,57.142857142857146,154.14285714285714,297.85714285714283,234.28571428571428,40.0,0.107
Robert Werdann,113.0,211.0,24.333333333333332,4.0,9.999999999999998,0.47433333333333333,3.466666666666667,2.1666666666666665,2.6999999999999997,14.200000000000001,0.03333333333333333,0.0,0.41300000000000003,0.6953333333333332,6.666666666666667,21.666666666666668,33.666666666666664,27.0,4.333333333333333,0.04700000000000001
Robin Lopez,115.0,213.0,24.0,9.0,15.900000000000002,0.5654444444444444,4.033333333333333,4.199999999999999,0.6555555555555556,13.177777777777779,4.2444444444444445,0.0,0.5254444444444445,0.7481111111111112,72.22222222222223,144.77777777777777,609.2222222222222,385.3333333333333,18.22222222222222,0.12199999999999998
Rod Foster,72.0,185.0,24.0,2.0,10.200000000000001,0.48500000000000004,19.900000000000002,0.16666666666666666,1.8,4.333333333333333,0.7333333333333334,0.2893333333333334,0.4563333333333333,0.7536666666666667,95.33333333333333,147.0,520.6666666666666,86.0,45.666666666666664,0.02266666666666667
Rod Higgins,90.0,201.0,28.294117647058822,12.0,10.917647058823528,0.49382352941176466,9.288235294117648,1.6882352941176473,1.3823529411764708,9.01764705882353,2.229411764705882,0.23558823529411765,0.445,0.7695625,47.0,103.58823529411765,418.1764705882353,168.8235294117647,29.058823529411764,0.06382352941176471
